id;fold;val_score;representation
70;0;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;1;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(4.), tanh, mul, 3, 2, mul, tensor(1.2500), tanh, div, 10, 7]
70;2;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;3;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;4;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;5;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;6;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;7;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;8;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
70;9;tensor(9223372036854775807);[add, add, add, 0, 8, mul, tensor(1.), tanh, sub, 0, 11, mul, tensor(1.2500), tanh, div, 10, 7]
