id;fold;val_score;representation
71;0;tensor(1.1146);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;1;tensor(1.1192);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;2;tensor(1.1305);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;3;tensor(1.1276);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;4;tensor(1.1199);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;5;tensor(1.0925);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;6;tensor(1.1340);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;7;tensor(1.1423);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;8;tensor(1.1491);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
71;9;tensor(1.1495);[add, add, 10, tensor(-0.9915), sub, 2, tensor(0.8348)]
