id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;200;1;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [add, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7A69580>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7A69760>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7A698A0>;True;False;0.5877064
2;200;8;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7B73880>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B71620>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7B72CA0>;True;True;0.9069537
3;100;6;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C7B0A840>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B0BE20>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7B0A020>;True;False;0.84545267
4;10;6;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7B0AE80>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7A6BF60>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7B0B6A0>;True;False;1.6281532
5;30;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div, mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C7B0AAC0>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B084A0>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7B0B240>;False;True;3.7699
6;10;6;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_tournament.<locals>.tournament at 0x00000223C7A696C0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B70540>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7BCED40>;True;True;3.161291
7;50;8;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_tournament.<locals>.tournament at 0x00000223C7B6FE20>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7BAB6A0>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7BC6FC0>;True;True;0.731207
8;50;1;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7D1E700>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B6FE20>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7A696C0>;True;False;1.3916813
9;30;8;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [sub, div, mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7D1D080>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B6D8A0>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D22980>;True;True;2.40599
10;30;1;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div, sub, mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7BCD080>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7D4FF60>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7B84680>;False;False;1.3042698
11;30;8;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [div, mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x00000223C7D3BEC0>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7B6D620>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7A696C0>;True;True;1.2709532
12;10;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_tournament.<locals>.tournament at 0x00000223C7D74B80>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7D3B740>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D22980>;False;False;9.223372036854776e+18
13;10;4;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add, sub, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C7D6BCE0>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7D4F240>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D3BEC0>;False;False;9.223372036854776e+18
14;100;1;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7D97600>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7D68860>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D74B80>;True;False;0.7896162
15;30;1;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub, add, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7E1ED40>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7DD28E0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E1EB60>;False;False;9.223372036854776e+18
16;200;6;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C7E4A160>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E1ED40>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E1DE40>;False;False;9.223372036854776e+18
17;200;6;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C7E3AFC0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7D6BCE0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D3BEC0>;False;False;9.223372036854776e+18
18;200;8;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub, mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7F02480>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7F007C0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D3B740>;True;False;0.81894743
19;50;8;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_tournament.<locals>.tournament at 0x00000223C7D74B80>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7DD1B20>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E28AE0>;True;False;3.5493393
20;30;8;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7D6BCE0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E1ED40>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7DD28E0>;False;False;9.223372036854776e+18
21;100;1;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul, div, add, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7E831A0>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E29D00>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7D74B80>;True;True;1.6196903
22;10;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7E4AC00>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E831A0>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E83100>;True;False;26.067581
23;30;2;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x00000223C7E822A0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E4BC40>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E4BCE0>;True;True;3.7903533
24;10;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add, mul, div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7E84180>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E86020>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E4AC00>;False;False;9.223372036854776e+18
25;100;8;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7F07880>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E86B60>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E86020>;False;True;9.223372036854776e+18
26;100;2;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [div, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7F956C0>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E3A7A0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7E84180>;False;False;9.223372036854776e+18
27;200;2;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7D6BCE0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E85260>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7F07880>;False;True;7.1346006
28;10;8;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7F72840>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7F70AE0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7F72980>;False;True;9.223372036854776e+18
29;50;2;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7F07880>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7F71B20>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7F70AE0>;True;False;2.843948
30;50;1;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [add, mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7E85B20>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7F5B100>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7F72840>;True;True;0.85081804
31;100;1;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [div, sub, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_tournament.<locals>.tournament at 0x00000223C7F70AE0>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7E85B20>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7F07880>;False;False;9.223372036854776e+18
32;100;4;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C9FBE5C0>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBE200>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7F598A0>;True;True;1.7361233
33;10;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul, add, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x00000223C9FBFD80>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBE5C0>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FBEE80>;True;False;3.824485
34;10;2;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add, div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7FFFF60>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBD620>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FBE5C0>;False;True;9.223372036854776e+18
35;10;8;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x00000223C9FA7380>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C7F598A0>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FBFD80>;True;True;2.7756429
36;10;4;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x00000223CA018860>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FA6480>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7FCBBA0>;True;False;2.189549
37;200;1;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_tournament.<locals>.tournament at 0x00000223C9FBD620>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBAFC0>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FA7380>;False;True;0.82115793
38;30;8;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add, sub, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x00000223CA01A3E0>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBD620>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FB8540>;True;False;1.7687553
39;100;4;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub, mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C9FA6480>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223CA01A3E0>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FA6CA0>;True;False;1.149383
40;50;8;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [add, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223CA013BA0>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBFD80>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7FCBBA0>;False;False;9.223372036854776e+18
41;200;1;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [sub, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x00000223CA02AAC0>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FA7380>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FA6480>;False;True;1.6618601
42;100;4;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [add, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x00000223CA085BC0>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223CA02AAC0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x00000223CA0282C0>;True;True;1.0190749
43;10;6;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C7FCBBA0>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBFD80>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FBAFC0>;True;True;2.6304212
44;10;4;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [add, mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x00000223CA0331A0>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223CA029B20>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C9FA6480>;False;True;112.90845
45;30;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_double_tournament.<locals>.double_tournament at 0x00000223CA048C20>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223CA039D00>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223C7FCBBA0>;True;True;2.7812417
46;30;6;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000223CA0331A0>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223CA02AAC0>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x00000223CA0393A0>;False;False;9.223372036854776e+18
47;200;4;<function full at 0x00000223C7A57F60>;{'n_dims': 12, 'function_set': [sub, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223C7A85790>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_tournament.<locals>.tournament at 0x00000223CA086AC0>;0.5;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223C9FBFD80>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x00000223CA016700>;True;False;1.5383939
48;30;2;<function grow at 0x00000223C7A57D80>;{'n_dims': 12, 'function_set': [sub, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000223F0C38310>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000223C9FC5A80>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x00000223CA086AC0>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x00000223CA0331A0>;True;True;1.1139914
