i;n_iter;config_file;score
1;50;configs/config_1;0.14867862438755172
2;50;configs/config_2;0.1488679131246857
3;25;configs/config_6;0.14582889479218494
4;50;configs/config_3;0.15188215167203478
5;50;configs/config_2;0.15003287093775314
6;75;configs/config_4;0.14994426332352953
7;25;configs/config_5;0.14763165419272836
8;25;configs/config_2;0.14763696020110723
9;75;configs/config_2;0.15053825842773655
10;75;configs/config_1;0.14837258385300484
11;100;configs/config_6;0.1480524098789128
12;75;configs/config_5;0.15098717820977958
13;75;configs/config_1;0.14468967630108356
14;100;configs/config_5;0.14741754928646886
15;25;configs/config_3;0.153030312608943
16;50;configs/config_3;0.15068322818407304
17;100;configs/config_4;0.14924360009954693
