id;fold;val_score;representation
;0;tensor(0.1422, grad_fn=<SqrtBackward0>);repr
;1;tensor(0.1500, grad_fn=<SqrtBackward0>);repr
;2;tensor(0.1319, grad_fn=<SqrtBackward0>);repr
;3;tensor(0.1646, grad_fn=<SqrtBackward0>);repr
;4;tensor(0.1389, grad_fn=<SqrtBackward0>);repr
;5;tensor(0.1202, grad_fn=<SqrtBackward0>);repr
;6;tensor(0.1422, grad_fn=<SqrtBackward0>);repr
;7;tensor(0.1240, grad_fn=<SqrtBackward0>);repr
;8;tensor(0.1377, grad_fn=<SqrtBackward0>);repr
;9;tensor(0.1332, grad_fn=<SqrtBackward0>);repr
