id;fold;val_score;representation
;0;tensor(0.1684, grad_fn=<SqrtBackward0>);repr
;1;tensor(0.1717, grad_fn=<SqrtBackward0>);repr
;2;tensor(0.1447, grad_fn=<SqrtBackward0>);repr
;3;tensor(0.1800, grad_fn=<SqrtBackward0>);repr
;4;tensor(0.1469, grad_fn=<SqrtBackward0>);repr
;5;tensor(0.1647, grad_fn=<SqrtBackward0>);repr
;6;tensor(0.1614, grad_fn=<SqrtBackward0>);repr
;7;tensor(0.1652, grad_fn=<SqrtBackward0>);repr
;8;tensor(0.1558, grad_fn=<SqrtBackward0>);repr
;9;tensor(0.1913, grad_fn=<SqrtBackward0>);repr
