id;fold;val_score;representation
;0;tensor(3.3419, grad_fn=<SqrtBackward0>);repr
;1;tensor(3.4543, grad_fn=<SqrtBackward0>);repr
;2;tensor(3.3883, grad_fn=<SqrtBackward0>);repr
;3;tensor(3.0277, grad_fn=<SqrtBackward0>);repr
;4;tensor(3.5646, grad_fn=<SqrtBackward0>);repr
;5;tensor(3.4497, grad_fn=<SqrtBackward0>);repr
;6;tensor(3.7033, grad_fn=<SqrtBackward0>);repr
;7;tensor(3.2234, grad_fn=<SqrtBackward0>);repr
;8;tensor(3.3420, grad_fn=<SqrtBackward0>);repr
;9;tensor(3.2185, grad_fn=<SqrtBackward0>);repr
