id;fold;val_score;representation
1;0;tensor(0.1509, grad_fn=<SqrtBackward0>);repr
1;1;tensor(0.1471, grad_fn=<SqrtBackward0>);repr
1;2;tensor(0.1256, grad_fn=<SqrtBackward0>);repr
1;3;tensor(0.1705, grad_fn=<SqrtBackward0>);repr
1;4;tensor(0.1377, grad_fn=<SqrtBackward0>);repr
1;5;tensor(0.1198, grad_fn=<SqrtBackward0>);repr
1;6;tensor(0.1335, grad_fn=<SqrtBackward0>);repr
1;7;tensor(0.1210, grad_fn=<SqrtBackward0>);repr
1;8;tensor(0.1394, grad_fn=<SqrtBackward0>);repr
1;9;tensor(0.1350, grad_fn=<SqrtBackward0>);repr
