i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
i;n_iter;config_file;score
0;20;configs/config_2;0.06380359347974504
1;20;configs/config_5;0.0646955423410748
i;n_iter;config_file;score
0;20;configs/config_6;0.06584028331016263
1;20;configs/config_1;0.06539022512596535
2;20;configs/config_4;0.06630247804149246
3;20;configs/config_1;0.06704779219173354
4;20;configs/config_5;0.06575334924458094
5;20;configs/config_2;0.0652440917589154
6;20;configs/config_2;0.06534350472180403
7;20;configs/config_2;0.06421794104188108
8;20;configs/config_3;0.129977589843276
9;20;configs/config_2;0.06404047776968758
10;20;configs/config_6;0.06515282474355535
11;20;configs/config_5;0.06396439271178979
12;20;configs/config_1;0.0662536742004753
13;20;configs/config_1;0.06528441887611655
14;20;configs/config_2;0.0643539305407094
15;20;configs/config_1;0.06539170065587138
i;n_iter;config_file;score
0;20;configs/config_6;0.06593637585680684
i;n_iter;config_file;score
0;100;configs/config_5;0.0638631061151615
i;n_iter;config_file;score
i;n_iter;config_file;score
0;20;configs/config_1;0.0675785906711413
1;100;configs/config_1;0.06416184380303916
2;60;configs/config_3;0.08362855699897835
3;20;configs/config_2;0.06370199373767096
4;60;configs/config_4;0.06457531698265809
5;20;configs/config_3;0.09165108293639487
6;60;configs/config_3;0.07333561420539972
7;100;configs/config_3;0.07112821965751925
8;100;configs/config_1;0.06424153464792223
9;20;configs/config_4;0.06633900414473044
10;100;configs/config_3;0.07192074525930539
11;20;configs/config_6;0.06477257348538776
12;100;configs/config_6;0.0625545526194895
13;20;configs/config_3;0.09447321433781966
14;100;configs/config_5;0.06263310860557443
15;100;configs/config_2;0.0643096133094693
16;100;configs/config_4;0.06449610085823129
17;20;configs/config_1;0.06596921818265904
18;20;configs/config_1;0.0636511363425988
19;100;configs/config_6;0.06322505375817786
20;20;configs/config_4;0.06610382116539516
21;20;configs/config_1;0.06622697268141192
22;60;configs/config_3;0.06621580553282944
23;100;configs/config_1;0.06461628581630724
24;60;configs/config_6;0.06440070438131214
25;100;configs/config_2;0.06379589472250177
26;100;configs/config_5;0.06237721705802655
27;60;configs/config_4;0.06419230817123307
28;20;configs/config_2;0.06516038720650216
29;60;configs/config_6;0.06439695619601923
30;20;configs/config_2;0.06482626586082166
31;100;configs/config_2;0.06416564497010065
32;60;configs/config_5;0.0645836751485704
33;100;configs/config_6;0.06337670167171956
34;60;configs/config_5;0.06421226385038498
35;60;configs/config_2;0.06358911313766533
36;20;configs/config_2;0.06512737470766868
37;100;configs/config_3;0.06505283540481173
38;100;configs/config_1;0.06440212293624752
39;20;configs/config_2;0.06426838662106564
40;100;configs/config_3;0.06714243253270454
41;60;configs/config_3;0.07838653325394034
42;20;configs/config_3;0.11249358060661407
43;20;configs/config_1;0.06396215352609962
44;100;configs/config_4;0.0634215229450956
45;60;configs/config_1;0.06298028034830509
46;100;configs/config_6;0.06415230367364894
47;20;configs/config_3;0.11599429209339349
48;100;configs/config_2;0.06255185043619285
49;20;configs/config_5;0.0640457963581588
50;60;configs/config_5;0.06437821124412031
51;60;configs/config_6;0.06390850438384083
52;60;configs/config_6;0.06275083274413643
53;20;configs/config_5;0.0650077810562838
54;100;configs/config_4;0.0628308450714038
55;20;configs/config_4;0.06703954452053815
56;60;configs/config_1;0.06479748591591297
57;100;configs/config_2;0.06383258979287701
58;60;configs/config_1;0.0640151287780282
59;60;configs/config_4;0.06477689510853343
60;100;configs/config_4;0.06285804684026304
61;100;configs/config_6;0.06537320057562286
62;100;configs/config_4;0.06428852464576218
63;20;configs/config_1;0.06634060415630785
64;20;configs/config_5;0.0665190757075275
65;100;configs/config_2;0.06215069376938241
66;60;configs/config_6;0.06323485378358423
67;20;configs/config_5;0.06582795215656126
68;60;configs/config_6;0.0650289303989852
69;60;configs/config_6;0.0631845888146599
70;60;configs/config_4;0.06574864078353368
71;60;configs/config_1;0.06474468501766559
72;100;configs/config_4;0.06292407034188707
73;100;configs/config_4;0.06409996191656779
74;20;configs/config_6;0.06596056546454448
75;20;configs/config_6;0.06440639791488954
76;100;configs/config_6;0.06401229877609178
77;100;configs/config_1;0.06376941332560132
78;60;configs/config_4;0.06398229005068072
79;100;configs/config_3;0.06786142658034597
80;60;configs/config_5;0.06438324405694489
81;20;configs/config_1;0.06738482348654969
82;100;configs/config_4;0.06432535055271271
83;60;configs/config_5;0.06463352055333003
84;100;configs/config_2;0.064600096655927
85;60;configs/config_4;0.06408070273993881
86;100;configs/config_4;0.06506988867023336
87;60;configs/config_3;0.07716465253624981
88;60;configs/config_6;0.06458638496414391
89;100;configs/config_3;0.06854886454658364
90;60;configs/config_5;0.06322705697878273
91;20;configs/config_3;0.08190632363605668
92;20;configs/config_3;0.09381915549831735
93;20;configs/config_4;0.06607918506212396
94;60;configs/config_1;0.06478168010409852
95;20;configs/config_6;0.0640680747160237
96;100;configs/config_6;0.06486836293020405
97;20;configs/config_3;0.08245085915505931
98;20;configs/config_3;0.08109682061990708
99;100;configs/config_2;0.06288036176796737
