id;fold;val_score;representation
43;0;tensor(0.4144);[sub, 9, tensor(-4.8707)]
43;1;tensor(0.3769);[sub, 9, tensor(-4.8707)]
43;2;tensor(0.4156);[sub, 9, tensor(-4.8707)]
43;3;tensor(0.3487);[sub, 9, tensor(-4.8707)]
43;4;tensor(0.4133);[sub, 9, tensor(-4.8707)]
43;5;tensor(0.4146);[sub, 9, tensor(-4.8707)]
43;6;tensor(0.4109);[sub, 9, tensor(-4.8707)]
43;7;tensor(0.3504);[sub, 9, tensor(-4.8707)]
43;8;tensor(0.4006);[sub, 9, tensor(-4.8707)]
43;9;tensor(0.3915);[sub, 9, tensor(-4.8707)]
