id;fold;val_score;representation
44;0;tensor(0.1140);[add, tensor(4.4640), tensor(0.5225)]
44;1;tensor(0.1274);[add, tensor(0.2477), tensor(4.5328)]
44;2;tensor(0.1287);[tensor(5.0043)]
44;3;tensor(0.1504);[sub, tensor(5.0307), mul, mul, mul, sub, 3, 3, 9, sub, mul, 10, 4, mul, tensor(0.4097), 8, sub, tensor(5.0307), add, 7, 7]
44;4;tensor(0.1117);[add, add, tensor(4.4640), tensor(0.5225), mul, mul, sub, mul, mul, 1, 4, add, 2, 10, add, sub, 0, 3, add, 7, tensor(-9.2172), mul, tensor(-6.7036), 7, mul, sub, 11, 11, sub, mul, add, 8, add, 5, tensor(-9.4197), mul, sub, 11, tensor(3.1401), 7, 11]
44;5;tensor(0.2606);[add, tensor(4.6819), 10]
44;6;tensor(0.1400);[sub, tensor(-4.7951), tensor(-9.5635)]
44;7;tensor(0.1565);[tensor(5.0370)]
44;8;tensor(0.4902);[add, 10, tensor(4.2136)]
44;9;tensor(0.1269);[add, tensor(0.2477), tensor(4.5328)]
