id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
51;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub, mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015CB3420>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015CB2F20>;0.9;<function swap_xo at 0x00000280152AEC00>;False;False;1.5152773
52;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.3, 'max_init_depth': 4, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x0000028015B47CE0>;0.05;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015CB0FE0>;0.2;<function swap_xo at 0x00000280152AEC00>;False;False;3.8128319
53;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015D2FF60>;0.15;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028015CD9940>;0.7;<function swap_xo at 0x00000280152AEC00>;True;True;0.72869986
54;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub, div, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015D08540>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015BB56C0>;0.9;<function swap_xo at 0x00000280152AEC00>;True;False;0.7124172
55;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, add, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015D44040>;0.2;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015D08540>;0.2;<function swap_xo at 0x00000280152AEC00>;True;False;0.6209965
56;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, sub, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x0000028015DA4EA0>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028015D80220>;0.05;<function swap_xo at 0x00000280152AEC00>;True;True;0.72869986
57;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [sub, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.3, 'max_init_depth': 4, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015E47D80>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015DA4360>;0.7;<function swap_xo at 0x00000280152AEC00>;True;False;0.45564127
58;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x0000028015DA7A60>;0.1;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015E17240>;0.05;<function swap_xo at 0x00000280152AEC00>;False;False;0.73545474
59;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.3, 'max_init_depth': 5, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015DF8B80>;0.1;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015DA51C0>;0.5;<function swap_xo at 0x00000280152AEC00>;False;False;39.30256
60;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x0000028015D823E0>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015DA4EA0>;0.9;<function swap_xo at 0x00000280152AEC00>;True;False;0.8739379
