id;fold;best_score;best_generations
830;0;32.689002990722656;0
830;0;31.363588333129883;1
830;0;30.09532928466797;2
830;0;28.881135940551758;3
830;0;27.71816635131836;4
830;0;26.603775024414062;5
830;0;25.5355224609375;6
830;0;24.511119842529297;7
830;0;23.528440475463867;8
830;0;22.58550453186035;9
830;0;21.680463790893555;10
830;0;20.81157684326172;11
830;0;19.977210998535156;12
830;0;19.175840377807617;13
830;0;18.406024932861328;14
830;0;17.66640281677246;15
830;0;16.95569610595703;16
830;0;16.272693634033203;17
830;0;15.61624813079834;18
830;0;14.985274314880371;19
830;0;14.378744125366211;20
830;0;13.79567813873291;21
830;0;13.235150337219238;22
830;0;12.696269035339355;23
830;0;12.178197860717773;24
830;0;11.680129051208496;25
830;0;11.20129680633545;26
830;0;10.740965843200684;27
830;0;10.298439025878906;28
830;0;9.873043060302734;29
830;0;9.464136123657227;30
830;0;9.071104049682617;31
830;0;8.693353652954102;32
830;0;8.330320358276367;33
830;0;7.981456756591797;34
830;0;7.646244049072266;35
830;0;7.324176788330078;36
830;0;7.014772415161133;37
830;0;6.717563629150391;38
830;0;6.432106971740723;39
830;0;6.157966136932373;40
830;0;5.894728183746338;41
830;0;5.641991138458252;42
830;0;5.399366855621338;43
830;0;5.16648530960083;44
830;0;4.942986011505127;45
830;0;4.728522300720215;46
830;0;4.522758960723877;47
830;0;4.325374126434326;48
830;0;4.136054515838623;49
830;1;36.101531982421875;0
830;1;34.72789001464844;1
830;1;33.41290283203125;2
830;1;32.153343200683594;3
830;1;30.94624900817871;4
830;1;29.78885269165039;5
830;1;28.678607940673828;6
830;1;27.61313819885254;7
830;1;26.59023094177246;8
830;1;25.607826232910156;9
830;1;24.66399383544922;10
830;1;23.756938934326172;11
830;1;22.884960174560547;12
830;1;22.04648208618164;13
830;1;21.240007400512695;14
830;1;20.464130401611328;15
830;1;19.717529296875;16
830;1;18.99895668029785;17
830;1;18.307226181030273;18
830;1;17.64122772216797;19
830;1;16.999895095825195;20
830;1;16.38222885131836;21
830;1;15.78727912902832;22
830;1;15.214134216308594;23
