id;fold;score
5;0;0.0034443727
5;1;0.003031136
5;2;0.0041115955
5;3;0.0037384278
5;4;0.0043574623
5;5;0.0028577512
5;6;0.0033675097
5;7;0.0029525505
5;8;0.0052355663
5;9;0.0046653
