id;fold;best_score;best_generations
407;0;26.29172706604004;0
407;0;25.91216278076172;1
407;0;25.534378051757812;2
407;0;25.158113479614258;3
407;0;24.783109664916992;4
407;0;24.409133911132812;5
407;0;24.035978317260742;6
407;0;23.663433074951172;7
407;0;23.29132080078125;8
407;0;22.91946792602539;9
407;0;22.547718048095703;10
407;0;22.175931930541992;11
407;0;21.803979873657227;12
407;0;21.431751251220703;13
407;0;21.059146881103516;14
407;0;20.686080932617188;15
407;0;20.31248664855957;16
407;0;19.93829917907715;17
407;0;19.5634822845459;18
407;0;19.188011169433594;19
407;0;18.81186866760254;20
407;0;18.435056686401367;21
407;0;18.057598114013672;22
407;0;17.679519653320312;23
407;0;17.300870895385742;24
407;0;16.921720504760742;25
407;0;16.542146682739258;26
407;0;16.16223907470703;27
407;0;15.78211784362793;28
407;0;15.401908874511719;29
407;0;15.021759033203125;30
407;0;14.641829490661621;31
407;0;14.262295722961426;32
407;0;13.88336181640625;33
407;0;13.505226135253906;34
407;0;13.128120422363281;35
407;0;12.752283096313477;36
407;0;12.377970695495605;37
407;0;12.005452156066895;38
407;0;11.635009765625;39
407;0;11.266937255859375;40
407;0;10.901540756225586;41
407;0;10.53913688659668;42
407;0;10.180046081542969;43
407;0;9.824602127075195;44
407;0;9.473138809204102;45
407;0;9.125996589660645;46
407;0;8.783512115478516;47
407;0;8.446028709411621;48
407;0;8.113884925842285;49
407;1;27.161848068237305;0
407;1;26.79237174987793;1
407;1;26.426071166992188;2
407;1;26.062511444091797;3
407;1;25.701292037963867;4
407;1;25.34203338623047;5
407;1;24.9843692779541;6
407;1;24.627973556518555;7
407;1;24.272520065307617;8
407;1;23.91771125793457;9
407;1;23.563264846801758;10
407;1;23.208911895751953;11
407;1;22.854402542114258;12
407;1;22.499502182006836;13
407;1;22.143993377685547;14
407;1;21.787670135498047;15
407;1;21.430341720581055;16
407;1;21.071836471557617;17
407;1;20.71199607849121;18
407;1;20.35067367553711;19
407;1;19.987741470336914;20
407;1;19.623092651367188;21
407;1;19.256629943847656;22
407;1;18.888275146484375;23
407;1;18.517974853515625;24
407;1;18.145689010620117;25
407;1;17.771394729614258;26
407;1;17.395099639892578;27
407;1;17.016820907592773;28
407;1;16.636608123779297;29
407;1;16.25452995300293;30
407;1;15.870681762695312;31
407;1;15.48518180847168;32
407;1;15.098170280456543;33
407;1;14.709826469421387;34
407;1;14.320342063903809;35
407;1;13.929950714111328;36
407;1;13.538899421691895;37
407;1;13.147480010986328;38
407;1;12.755996704101562;39
407;1;12.364785194396973;40
407;1;11.974218368530273;41
407;1;11.584687232971191;42
407;1;11.196601867675781;43
407;1;10.810402870178223;44
407;1;10.426549911499023;45
407;1;10.045522689819336;46
407;1;9.667815208435059;47
407;1;9.29393482208252;48
407;1;8.924396514892578;49
407;2;21.771577835083008;0
407;2;21.459829330444336;1
407;2;21.15155792236328;2
