id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;500;25;<function grow at 0x00000287710C2700>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E990>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x0000028771363880>;0.1;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028771360EA0>;0.7;<function swap_xo at 0x000002877100A980>;True;True;0.5682132
2;1000;25;<function full at 0x00000287710C28E0>;{'n_dims': 12, 'function_set': [mul, add, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E9F0>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x0000028771377380>;0.2;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028771377B00>;0.7;<function swap_xo at 0x000002877100A980>;True;True;0.16002454
3;25;50;<function grow at 0x00000287710C2700>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E9F0>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x0000028772CE3600>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x0000028772CE3E20>;0.7;<function swap_xo at 0x000002877100A980>;False;True;0.6216468
4;250;250;<function full at 0x00000287710C28E0>;{'n_dims': 12, 'function_set': [add, sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E9F0>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_tournament.<locals>.tournament at 0x0000028771009260>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028772CF16C0>;0.5;<function swap_xo at 0x000002877100A980>;True;False;0.14951308
5;50;50;<function full at 0x00000287710C28E0>;{'n_dims': 12, 'function_set': [add, sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E9F0>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x0000028772FFBE20>;0.05;<function prm_point_mtn.<locals>.point_mtn at 0x0000028772BA0A40>;0.2;<function swap_xo at 0x000002877100A980>;False;False;0.43822843
6;1000;250;<function full at 0x00000287710C28E0>;{'n_dims': 12, 'function_set': [mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E990>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x0000028772EA3920>;0.1;<function prm_point_mtn.<locals>.point_mtn at 0x0000028770A4AB60>;0.5;<function swap_xo at 0x000002877100A980>;True;False;0.44724178
7;100;25;<function grow at 0x00000287710C2700>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297E9F0>, 'p_constants': 0.05, 'max_init_depth': 4, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x0000028772F167A0>;0.05;<function prm_point_mtn.<locals>.point_mtn at 0x0000028772CD8C20>;0.5;<function swap_xo at 0x000002877100A980>;True;True;0.70177436
8;250;250;<function grow at 0x00000287710C2700>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297EC60>, 'p_constants': 0.3, 'max_init_depth': 4, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_double_tournament.<locals>.double_tournament at 0x000002877341A520>;0.2;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028772CE02C0>;0.7;<function swap_xo at 0x000002877100A980>;True;False;0.30256584
9;25;250;<function grow at 0x00000287710C2700>;{'n_dims': 12, 'function_set': [mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297EC60>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x0000028773527A60>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000002877334B380>;0.2;<function swap_xo at 0x000002877100A980>;False;True;0.1802041
10;250;25;<function grow at 0x00000287710C2700>;{'n_dims': 12, 'function_set': [add, sub, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002877297EC60>, 'p_constants': 0.1, 'max_init_depth': 4, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x0000028773107100>;0.2;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x00000287730C7F60>;0.5;<function swap_xo at 0x000002877100A980>;True;False;0.272427
