id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;mutation_step;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;500;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500761ACA0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500761AFC0>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;True;0.96208966
2;500;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x0000015007793420>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500761ACA0>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;False;1.1447325
3;500;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x0000015007ACB420>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015007793420>;0.025;0.5;<function nn_xo at 0x00000150075CF880>;True;True;0.71301395
4;200;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [2], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x0000015007D24AE0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015007ACB420>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.7392059
5;100;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x0000015007EE0D60>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015007D24AE0>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;False;1.4201087
6;500;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x00000150084E1760>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015007EE0D60>;0.05;0.5;<function nn_xo at 0x00000150075CF880>;True;True;0.6338704
7;500;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x0000015007F49C60>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000150084E1760>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.66817504
8;500;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [2], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x00000150085D3560>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015007F49C60>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;True;0.62189424
9;100;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x0000015009104EA0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000150085D3560>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;True;1.6287676
10;500;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001500761ACA0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015009104EA0>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;True;0.56962454
