generation;train_score;val_score
0;4.893194608165262;4.894087559705073
1;2.1434022926579055;2.270358018308412
2;1.9719291725878183;2.1031468695888913
3;1.0234216143668606;0.970955385769769
4;0.31841917182448026;0.2665688194504855
5;0.10261550007304278;0.09715226780007247
6;0.06524486187684712;0.060245316870657636
7;0.06524486187684712;0.060245316870657636
8;0.06524486187684712;0.060245316870657636
9;0.06524486187684712;0.060245316870657636
10;0.06524486187684712;0.060245316870657636
11;0.06524486187684712;0.060245316870657636
12;0.06524486187684712;0.060245316870657636
13;0.06524486187684712;0.060245316870657636
14;0.06524486187684712;0.060245316870657636
15;0.06524486187684712;0.060245316870657636
16;0.06524486187684712;0.060245316870657636
17;0.06524486187684712;0.060245316870657636
18;0.06524486187684712;0.060245316870657636
19;0.06524486187684712;0.060245316870657636
20;0.0648473572679192;0.06125572495167903
21;0.0648473572679192;0.06125572495167903
22;0.0648473572679192;0.06125572495167903
23;0.0648473572679192;0.06125572495167903
24;0.0648473572679192;0.06125572495167903
25;0.0648473572679192;0.06125572495167903
26;0.0648473572679192;0.06125572495167903
27;0.0648473572679192;0.06125572495167903
28;0.0648473572679192;0.06125572495167903
29;0.0648473572679192;0.06125572495167903
30;0.0648473572679192;0.06125572495167903
31;0.0648473572679192;0.06125572495167903
32;0.06430855994002861;0.05972922589488694
33;0.06430855994002861;0.05972922589488694
34;0.06430855994002861;0.05972922589488694
35;0.06430855994002861;0.05972922589488694
36;0.06430855994002861;0.05972922589488694
37;0.06430855994002861;0.05972922589488694
38;0.06430855994002861;0.05972922589488694
39;0.06430855994002861;0.05972922589488694
40;0.06430855994002861;0.05972922589488694
41;0.06430855994002861;0.05972922589488694
42;0.06430855994002861;0.05972922589488694
43;0.06430855994002861;0.05972922589488694
44;0.06430855994002861;0.05972922589488694
45;0.06430855994002861;0.05972922589488694
46;0.06430855994002861;0.05972922589488694
47;0.06430855994002861;0.05972922589488694
48;0.06430855994002861;0.05972922589488694
49;0.06430855994002861;0.05972922589488694
50;0.06430855994002861;0.05972922589488694
51;0.06430855994002861;0.05972922589488694
52;0.06430855994002861;0.05972922589488694
53;0.06430855994002861;0.05972922589488694
54;0.06430855994002861;0.05972922589488694
55;0.06430855994002861;0.05972922589488694
56;0.06430855994002861;0.05972922589488694
57;0.06430855994002861;0.05972922589488694
58;0.06430855994002861;0.05972922589488694
59;0.06430855994002861;0.05972922589488694
60;0.06430855994002861;0.05972922589488694
61;0.06430855994002861;0.05972922589488694
62;0.06430855994002861;0.05972922589488694
63;0.06430855994002861;0.05972922589488694
64;0.06430855994002861;0.05972922589488694
65;0.06430855994002861;0.05972922589488694
66;0.06430855994002861;0.05972922589488694
67;0.06430855994002861;0.05972922589488694
68;0.06430855994002861;0.05972922589488694
69;0.06430855994002861;0.05972922589488694
70;0.06430855994002861;0.05972922589488694
71;0.06430855994002861;0.05972922589488694
72;0.06430855994002861;0.05972922589488694
73;0.06430855994002861;0.05972922589488694
74;0.06430855994002861;0.05972922589488694
75;0.06430855994002861;0.05972922589488694
76;0.06430855994002861;0.05972922589488694
77;0.06415412670051694;0.058876562720962006
78;0.06415412670051694;0.058876562720962006
79;0.06415412670051694;0.058876562720962006
80;0.06415412670051694;0.058876562720962006
81;0.06415412670051694;0.058876562720962006
82;0.06415412670051694;0.058876562720962006
83;0.06415412670051694;0.058876562720962006
84;0.06415412670051694;0.058876562720962006
85;0.06415412670051694;0.058876562720962006
86;0.06415412670051694;0.058876562720962006
87;0.06415412670051694;0.058876562720962006
88;0.06415412670051694;0.058876562720962006
89;0.06415412670051694;0.058876562720962006
90;0.06415412670051694;0.058876562720962006
91;0.06415412670051694;0.058876562720962006
92;0.06415412670051694;0.058876562720962006
93;0.06415412670051694;0.058876562720962006
94;0.06415412670051694;0.058876562720962006
95;0.06415412670051694;0.058876562720962006
96;0.06415412670051694;0.058876562720962006
97;0.06415412670051694;0.058876562720962006
98;0.06415412670051694;0.058876562720962006
99;0.06415412670051694;0.058876562720962006
0;4.8909054461891035;4.914223977161047
1;3.891160391278821;3.91447552276698
2;1.6802107433428566;1.689940166223522
3;1.314259638709285;1.3531132479732622
4;1.0522934626792695;1.0893061159173065
5;0.5786127784058138;0.558819850900932
6;0.12093924028241824;0.10065169759325909
7;0.09304245262888344;0.07625123762445622
8;0.07073516116378416;0.06260051871558878
9;0.07073516116378416;0.06260051871558878
10;0.06915627923096454;0.062322952577565996
11;0.06664323365743706;0.06251850615810836
12;0.06664323365743706;0.06251850615810836
13;0.06664323365743706;0.06251850615810836
14;0.06664323365743706;0.06251850615810836
15;0.06642382513043008;0.07388648358304467
16;0.06642382513043008;0.07388648358304467
17;0.06642382513043008;0.07388648358304467
