id;fold;val_score
0;0;tensor(0.1187)
0;1;tensor(0.3122)
0;2;tensor(1.5117)
0;3;tensor(0.6593)
0;4;tensor(0.6160)
0;5;tensor(0.2151)
0;6;tensor(0.1669)
0;7;tensor(0.9000)
0;8;tensor(0.1068)
0;9;tensor(0.0701)
