id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;200;1;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [add, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDF010>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000002175502DF80>;0.2;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BDC9760>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BDC98A0>;True;False;0.6126531
2;200;8;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDF010>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000002172BDC9C60>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BDC9620>;0.05;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BDC96C0>;True;True;0.6732653
3;200;1;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [add, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDDE50>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_double_tournament.<locals>.double_tournament at 0x000002172BDC9440>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BEA2D40>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x000002175502DF80>;False;False;9.223372036854776e+18
4;200;1;<function full at 0x000002172BDC8040>;{'n_dims': 12, 'function_set': [div, mul, add, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDDE50>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000002172BEC13A0>;0.1;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BEC25C0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BEC1080>;True;False;0.630003
5;10;1;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [sub, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDF010>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x000002172BEC1A80>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BEC28E0>;0.5;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BEC25C0>;True;True;3.9037557
6;100;4;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDF010>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000002172BEC0FE0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BEC1A80>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BEC13A0>;True;False;0.69786227
7;100;8;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDF010>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x000002172BEC34C0>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BEC1260>;0.9;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BEC1A80>;True;True;0.62285763
8;10;8;<function full at 0x000002172BDC8040>;{'n_dims': 12, 'function_set': [sub, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDDE50>, 'p_constants': 0.2, 'max_init_depth': 2, 'max_depth': 4, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000002172BE6B100>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BDC9440>;0.7;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BEC1260>;False;False;9.223372036854776e+18
9;10;8;<function grow at 0x000002172BDB7E20>;{'n_dims': 12, 'function_set': [add, sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDDE50>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x000002177B4A3A60>;0.05;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002172BE6ACA0>;0.8;<function prm_gs_xo.<locals>.gs_xo at 0x0000021754EEC4A0>;False;False;9.223372036854776e+18
10;30;6;<function full at 0x000002172BDC8040>;{'n_dims': 12, 'function_set': [mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000002172BDDDE50>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 3, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x000002177B4DB100>;0.15;<function prm_gs_mtn.<locals>.gs_mtn at 0x000002177B4B5440>;0.2;<function prm_gs_xo.<locals>.gs_xo at 0x000002172BE6B100>;True;False;0.7428285
