id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;500;25;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [add, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000109197B66D0>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001091A11AFC0>;0.2;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x000001091A11B600>;0.8;<function swap_xo at 0x000001091A11A2A0>;False;False;0.59930205
2;250;100;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000001091A134950>, 'p_constants': 0.3, 'max_init_depth': 5, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x000001091AA86480>;0.05;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x000001091AA86FC0>;0.9;<function swap_xo at 0x000001091A11A2A0>;True;False;0.5867473
3;50;50;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000109197B66D0>, 'p_constants': 0.3, 'max_init_depth': 4, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x000001091AA3A160>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000001091AA39A80>;0.9;<function swap_xo at 0x000001091A11A2A0>;True;False;0.58035743
4;500;100;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000109170B7890>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x000001091A6DD260>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000001091AA3B880>;0.5;<function swap_xo at 0x000001091A11A2A0>;False;False;0.9516975
5;1000;25;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000001091A134950>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001091AB1EB60>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x000001091A6DD260>;0.05;<function swap_xo at 0x000001091A11A2A0>;True;True;1.0713723
6;250;25;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [add, mul, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000109197B66D0>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001091AA1B4C0>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000001091AA84FE0>;0.9;<function swap_xo at 0x000001091A11A2A0>;False;False;0.89948165
7;25;50;<function full at 0x000001091A119C60>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000001091A134950>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x000001091AE03C40>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000001091A6C56C0>;0.8;<function swap_xo at 0x000001091A11A2A0>;True;False;0.69528484
8;1000;100;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000109170B7890>, 'p_constants': 0.2, 'max_init_depth': 4, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001091B0491C0>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x000001091AE03060>;0.8;<function swap_xo at 0x000001091A11A2A0>;False;True;0.93541354
9;25;100;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000109170B7890>, 'p_constants': 0.05, 'max_init_depth': 4, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001091A6C56C0>;0.1;<function prm_point_mtn.<locals>.point_mtn at 0x000001091AB17D80>;0.9;<function swap_xo at 0x000001091A11A2A0>;False;False;1.0673852
10;250;250;<function grow at 0x000001091A119A80>;{'n_dims': 12, 'function_set': [add, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x000001091A134950>, 'p_constants': 0.2, 'max_init_depth': 4, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001091B07D940>;0.2;<function prm_point_mtn.<locals>.point_mtn at 0x000001091A1F2520>;0.8;<function swap_xo at 0x000001091A11A2A0>;True;False;0.55352247
