id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;mutation_step;xo_prob;xo_method;has_elitism;allow_reproduction;score
21;200;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001CFB9178FE0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB8C513A0>;0.025;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.5157742
22;200;250;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFB8B0E8E0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB9178FE0>;0.025;0.1;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.62227094
23;100;100;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001CFB930A700>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB8B0E8E0>;0.025;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.5948185
24;500;250;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001CFB95CD580>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB930A700>;0.05;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.1499622
25;100;500;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFB8CB0F40>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB95CD580>;0.025;0.1;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.7950721
26;200;250;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFB930A700>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB8CB0F40>;0.05;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.869894
27;500;250;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFB9804180>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB930A700>;0.05;0.1;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.22969809
28;200;250;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [8], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001CFBAA058A0>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFB9804180>;0.025;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.23751941
29;500;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001CFBAA258A0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBAA058A0>;0.025;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.19054727
30;500;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFBA271DA0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBAA258A0>;0.05;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.541337
