id;fold;val_score;representation
;0;tensor(0.1084, grad_fn=<SqrtBackward0>);repr
;1;tensor(0.2174, grad_fn=<SqrtBackward0>);repr
;2;tensor(0.1489, grad_fn=<SqrtBackward0>);repr
;3;tensor(0.0826, grad_fn=<SqrtBackward0>);repr
;4;tensor(0.1185, grad_fn=<SqrtBackward0>);repr
;5;tensor(0.1242, grad_fn=<SqrtBackward0>);repr
;6;tensor(0.1107, grad_fn=<SqrtBackward0>);repr
;7;tensor(1.7602, grad_fn=<SqrtBackward0>);repr
;8;tensor(0.1296, grad_fn=<SqrtBackward0>);repr
;9;tensor(0.1041, grad_fn=<SqrtBackward0>);repr
