id;fold;val_score;representation
;0;tensor(2.4961, grad_fn=<SqrtBackward0>);repr
;1;tensor(3.0224, grad_fn=<SqrtBackward0>);repr
;2;tensor(2.9275, grad_fn=<SqrtBackward0>);repr
;3;tensor(3.7254, grad_fn=<SqrtBackward0>);repr
;4;tensor(3.6282, grad_fn=<SqrtBackward0>);repr
;5;tensor(3.2605, grad_fn=<SqrtBackward0>);repr
;6;tensor(2.9120, grad_fn=<SqrtBackward0>);repr
;7;tensor(3.3574, grad_fn=<SqrtBackward0>);repr
;8;tensor(1.3310, grad_fn=<SqrtBackward0>);repr
;9;tensor(3.8768, grad_fn=<SqrtBackward0>);repr
