id;fold;val_score;representation
;0;tensor(0.0565, grad_fn=<SqrtBackward0>);repr
;1;tensor(0.0640, grad_fn=<SqrtBackward0>);repr
;2;tensor(0.0603, grad_fn=<SqrtBackward0>);repr
;3;tensor(0.0424, grad_fn=<SqrtBackward0>);repr
;4;tensor(0.0632, grad_fn=<SqrtBackward0>);repr
;5;tensor(0.0624, grad_fn=<SqrtBackward0>);repr
;6;tensor(0.0621, grad_fn=<SqrtBackward0>);repr
;7;tensor(0.0544, grad_fn=<SqrtBackward0>);repr
;8;tensor(0.0668, grad_fn=<SqrtBackward0>);repr
;9;tensor(0.0589, grad_fn=<SqrtBackward0>);repr
