id;fold;val_score;representation
;0;tensor(3.7316, grad_fn=<SqrtBackward0>);repr
;1;tensor(2.7662, grad_fn=<SqrtBackward0>);repr
;2;tensor(3.8955, grad_fn=<SqrtBackward0>);repr
;3;tensor(3.0535, grad_fn=<SqrtBackward0>);repr
;4;tensor(4.1433, grad_fn=<SqrtBackward0>);repr
;5;tensor(3.2007, grad_fn=<SqrtBackward0>);repr
;6;tensor(3.5630, grad_fn=<SqrtBackward0>);repr
;7;tensor(3.2624, grad_fn=<SqrtBackward0>);repr
;8;tensor(3.4452, grad_fn=<SqrtBackward0>);repr
;9;tensor(3.2553, grad_fn=<SqrtBackward0>);repr
