id;fold;val_score;representation
;0;tensor(2.8131, grad_fn=<SqrtBackward0>);repr
;1;tensor(1.8274, grad_fn=<SqrtBackward0>);repr
;2;tensor(3.4084, grad_fn=<SqrtBackward0>);repr
;3;tensor(3.0220, grad_fn=<SqrtBackward0>);repr
;4;tensor(2.7581, grad_fn=<SqrtBackward0>);repr
;5;tensor(3.0041, grad_fn=<SqrtBackward0>);repr
;6;tensor(3.4693, grad_fn=<SqrtBackward0>);repr
;7;tensor(1.6062, grad_fn=<SqrtBackward0>);repr
;8;tensor(2.0389, grad_fn=<SqrtBackward0>);repr
;9;tensor(3.2904, grad_fn=<SqrtBackward0>);repr
