id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;mutation_step;xo_prob;xo_method;has_elitism;allow_reproduction;score
1;500;50;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000272E2E4B1A0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E2E4AF20>;0.05;0.01;<function nn_xo at 0x00000272E2DFF920>;True;True;1.9875687
2;500;500;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000272E2F48180>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E2E4B1A0>;0.05;0.5;<function nn_xo at 0x00000272E2DFF920>;True;False;0.7084186
3;500;250;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x00000272E32D68E0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E2F48180>;0.05;0.5;<function nn_xo at 0x00000272E2DFF920>;True;False;1.434213
4;100;100;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000272E33A5080>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E32D68E0>;0.05;0.1;<function nn_xo at 0x00000272E2DFF920>;True;False;2.5769606
5;200;50;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x00000272E333D300>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E33A5080>;0.05;0.01;<function nn_xo at 0x00000272E2DFF920>;True;True;0.7212291
6;100;500;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000272E33B87C0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E333D300>;0.05;0.01;<function nn_xo at 0x00000272E2DFF920>;True;False;2.066866
7;500;500;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000272E34BDE40>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E33B87C0>;0.05;0.5;<function nn_xo at 0x00000272E2DFF920>;True;True;2.2035408
8;500;50;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000272E33BA0C0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E34BDE40>;0.025;0.5;<function nn_xo at 0x00000272E2DFF920>;True;False;2.050161
9;200;50;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x00000272E34B23E0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E33BA0C0>;0.025;0.01;<function nn_xo at 0x00000272E2DFF920>;True;False;1.5372605
10;100;50;<function nn_init at 0x00000272E2E4ACA0>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x00000272E35BE340>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000272E34B23E0>;0.05;0.1;<function nn_xo at 0x00000272E2DFF920>;True;True;1.3117709
