id;fold;val_score;representation
51;0;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;1;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;2;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;3;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;4;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;5;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;6;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;7;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;8;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
51;9;tensor(9223372036854775807);[mul, sub, mul, 8, tensor(-0.7345), mul, 11, 3, mul, mul, 11, 2, mul, 4, 2]
